artist_id,artist_name,artist_surname,total_performances,status
24,Anna,Marinou,11,"Most Performances"
16,Christos,Kosta,6,"Performed at least 5 times less than the maximum"
35,Petros,Karamitsos,6,"Performed at least 5 times less than the maximum"
2,Alexandra,Karali,6,"Performed at least 5 times less than the maximum"
42,Christos,Karamitsos,6,"Performed at least 5 times less than the maximum"
39,Katerina,Marinou,6,"Performed at least 5 times less than the maximum"
30,Katerina,Nikolaidis,6,"Performed at least 5 times less than the maximum"
49,Sofia,Andreou,6,"Performed at least 5 times less than the maximum"
27,Nikos,Lazarou,6,"Performed at least 5 times less than the maximum"
34,Vasilis,Petrou,6,"Performed at least 5 times less than the maximum"
18,Giorgos,Nikolaidis,6,"Performed at least 5 times less than the maximum"
31,Irene,Xenou,5,"Performed at least 5 times less than the maximum"
11,Petros,Alexiou,5,"Performed at least 5 times less than the maximum"
50,Giorgos,Pavlidis,5,"Performed at least 5 times less than the maximum"
21,Panagiotis,Vardis,5,"Performed at least 5 times less than the maximum"
45,Alex,Marinou,5,"Performed at least 5 times less than the maximum"
17,Alex,Ioannou,5,"Performed at least 5 times less than the maximum"
23,Giorgos,Ioannou,5,"Performed at least 5 times less than the maximum"
36,Kostas,Petrakis,5,"Performed at least 5 times less than the maximum"
43,Kostas,Papadopoulos,5,"Performed at least 5 times less than the maximum"
40,Christos,Tsiolis,5,"Performed at least 5 times less than the maximum"
47,Zoe,Marinou,5,"Performed at least 5 times less than the maximum"
25,Dimitris,Stathopoulou,4,"Performed at least 5 times less than the maximum"
14,Efi,Tsiolis,4,"Performed at least 5 times less than the maximum"
20,Zoe,Andreou,4,"Performed at least 5 times less than the maximum"
8,Alex,Lazarou,4,"Performed at least 5 times less than the maximum"
4,Panagiotis,Nikolaidis,3,"Performed at least 5 times less than the maximum"
44,Sofia,Vlachos,3,"Performed at least 5 times less than the maximum"
26,Christos,Lazarou,3,"Performed at least 5 times less than the maximum"
32,Panagiotis,Marinou,3,"Performed at least 5 times less than the maximum"
12,Anna,Tsiolis,3,"Performed at least 5 times less than the maximum"
10,Panagiotis,Kalogeropoulos,3,"Performed at least 5 times less than the maximum"
15,Irene,Alexiou,3,"Performed at least 5 times less than the maximum"
37,Giorgos,Kosta,2,"Performed at least 5 times less than the maximum"
9,Zoe,Stathopoulou,2,"Performed at least 5 times less than the maximum"
48,Olga,Vardis,2,"Performed at least 5 times less than the maximum"
19,Irene,Petrakis,2,"Performed at least 5 times less than the maximum"
5,Christos,Vardis,2,"Performed at least 5 times less than the maximum"
3,Zoe,Tsouroufli,2,"Performed at least 5 times less than the maximum"
1,Babis,Heotis,2,"Performed at least 5 times less than the maximum"
13,Sofia,Stathopoulou,2,"Performed at least 5 times less than the maximum"
28,Sofia,Vardis,1,"Performed at least 5 times less than the maximum"
